Name,Paved Path,Protected Bike Lane,Bike Lane,Marked Route,Unmarked Route,All Roads
Lehi,78.7,0.9,12.6,0,23.8,422.6
Levan,0,0,0,0,0.9,13.7
Lewiston,0,0,0,0,3,62.4
Lindon,21.7,0,7.7,1.1,9.9,84
Loa,0,0,0,0,0.9,16.2
Logan,9.7,0,4,1.3,31.2,234.9
Lyman,0,0,0,0,0.2,15.8
Lynndyl,0,0,0,0,0.2,26.3
Magna City,8.2,0,3,6.8,19.4,140.8
Manila,0,0,0,0,0,13.5
Manti,0,0,0,0,5.4,50.1
Mantua,0,0,0,0,2.6,29.3
Mapleton,11.4,0,6,0,6.1,109.1
Marriott-Slaterville,2.8,0,0.6,0,5.2,42.5
Marysvale,0,0,0,0,4.1,76.7
Mayfield,0,0,0,0,0.1,10.7
Meadow,0,0,0,0,0.1,8.2
Mendon,1.3,0,0,0,0.1,18.1
Midvale,7.2,0,0.4,0,14,117.1
Midway,23,0,2,0,2.1,73.1
Milford,0,0,0,0,8.8,27.7
Millard County (Unincorporated),0,0,0,0,40.7,8826.6
Millcreek,5.3,0,15.4,5.8,19.7,242.3
Millville,0,0,0,0,0.9,20.8
Minersville,0,0,0,0,2.3,18.3
Moab,6.2,0,3.6,0,6.7,78.4
Mona,0,0,0,0,0.1,27.8
Monroe,0,0,0,0,1.4,40.7
Monticello,0,0,0,0,3.8,24.9
Morgan,1.3,0,0,0,1.9,34.9
Morgan County (Unincorporated),1.9,0,0,6,0.1,1306.8
Moroni,0,0,0,0,0.8,17.5
Mount Pleasant,0,0,0,0,1.9,48.8
Murray,7.8,0,7,2.5,20.1,247.9
Myton,0,0,0,0,9,14.6
Naples,0.8,0,0.6,0,7.2,27.6
Nephi,0,0,0,0,6.3,90.2
New Harmony,0,0,0,0,0,7.7
Newton,0,0,0,0,0.6,14.6
Nibley,2.7,0,0.8,0,6,51.6
North Logan,7,0,0.9,0,8.6,69.8
North Ogden,2.5,0,1.9,0,5.8,104.6
North Salt Lake,12.2,0,8.3,0,11.1,117.1
Oak City,0,0,0,0,0.2,12.7
Oakley,1,0,0,0,2.6,35.3
Ogden,15.7,0.6,20.7,3.6,41.3,366.1
Orangeville,0,0,0,0,0.6,13.9
Orderville,0,0,0,0,9.1,42.3
Orem,39.4,0,28.2,0,38.6,345.9
Panguitch,0,0,0,0,3.1,33.5
Paradise,0,0,0,0,0,17.6
Paragonah,0,0,0,0,0.4,12.6
Park City,22.3,0,2.2,6.2,17,148.5
Parowan,0,0,0,0,1.9,88.3
Payson,7.4,0,5.7,0,4.2,144.6
Perry,0.4,0,0,0,2.5,70.1
Piute County (Unincorporated),0,0,0,0,15.9,1316.3
Plain City,1.1,0,0,0.4,3.3,60.5
Pleasant Grove,13.4,0,3.2,0,16.5,145
Pleasant View,1.6,0,0.4,0,4.3,70.1
Plymouth,0,0,0,0,2.4,14.9
Portage,0,0,0,0,0,12.1
Price,1.3,0,0,0,12.2,72.2
Providence,0,0,4.7,3.7,2.2,52.9
Provo,48.7,0.5,51.6,4.9,19.9,379.9
Randolph,0,0,0,0,0.4,24
Redmond,2.7,0,0,0,0.3,13.8
Rich County (Unincorporated),0,0,0,0,0,2017.3
Richfield,2.4,0,0.6,0,10.3,114
Richmond,0,0,0,0,2.1,32
